s,l,l_boundaries_lower,l_boundaries_upper
0,-1.89719e-06,-2,2
0.5,-0.00164051,-2,2
1,-0.00489377,-2,2
1.5,-0.00974498,-2,2
2,-0.0161693,-2,2
2.5,-0.024138,-2,2
3,-0.0336183,-2,2
3.5,-0.044574,-2,2
4,-0.0569652,-2,2
4.5,-0.0707486,-2,2
5,-0.0858776,-2,2
5.5,-0.102302,-2,2
6,-0.11997,-2,2
6.5,-0.138825,-2,2
7,-0.158809,-2,2
7.5,-0.179861,-2,2
8,-0.201916,-2,2
8.5,-0.22491,-2,2
9,-0.248773,-2,2
9.5,-0.273436,-2,2
10,-0.298826,-2,2
10.5,-0.324868,-2,2
11,-0.351488,-2,2
11.5,-0.378607,-2,2
12,-0.406146,-2,2
12.5,-0.434026,-2,2
13,-0.462164,-2,2
13.5,-0.490478,-2,2
14,-0.518885,-2,2
14.5,-0.5473,-2,2
15,-0.575639,-2,2
15.5,-0.603816,-2,2
16,-0.631745,-2,2
16.5,-0.659339,-2,2
17,-0.686514,-2,2
17.5,-0.713182,-2,2
18,-0.739257,-2,2
18.5,-0.764653,-2,2
19,-0.789286,-2,2
19.5,-0.813069,-2,2
20,-0.835918,-2,2
20.5,-0.857751,-2,2
21,-0.878484,-2,2
21.5,-0.898036,-2,2
22,-0.916326,-2,2
22.5,-0.933276,-2,2
23,-0.948807,-2,2
23.5,-0.962843,-2,2
24,-0.975311,-2,2
24.5,-0.986138,-2,2
25,-0.995253,-2,-1
25.5,-1.00247,-2,-1
26,-1.00796,-2,-1
26.5,-1.01177,-2,-1
27,-1.01396,-2,-1
27.5,-1.01459,-2,-1
28,-1.01371,-2,-1
28.5,-1.01139,-2,-1
29,-1.00768,-2,-1
29.5,-1.00265,-2,-1
30,-0.996426,-2,2
30.5,-0.988934,-2,2
31,-0.980176,-2,2
31.5,-0.970148,-2,2
32,-0.958848,-2,2
32.5,-0.946276,-2,2
33,-0.93243,-2,2
33.5,-0.91731,-2,2
34,-0.900915,-2,2
34.5,-0.883245,-2,2
35,-0.864301,-2,2
35.5,-0.844083,-2,2
36,-0.822592,-2,2
36.5,-0.79983,-2,2
37,-0.775797,-2,2
37.5,-0.750497,-2,2
38,-0.723929,-2,2
38.5,-0.696098,-2,2
39,-0.667004,-2,2
39.5,-0.63665,-2,2
40,-0.60504,-2,2
40.5,-0.572175,-2,2
41,-0.538059,-2,2
41.5,-0.502695,-2,2
42,-0.466085,-2,2
42.5,-0.428233,-2,2
43,-0.389142,-2,2
43.5,-0.348816,-2,2
44,-0.307257,-2,2
44.5,-0.264468,-2,2
45,-0.220454,-2,2
45.5,-0.175217,-2,2
46,-0.128759,-2,2
46.5,-0.0810854,-2,2
47,-0.0321976,-2,2
47.5,0.017901,-2,2
48,0.0692079,-2,2
48.5,0.12172,-2,2
49,0.175436,-2,2
49.5,0.230352,-2,2
